5
2013
30
Detroit Tigers	AL	162	5735	796	1625	292	23	176	767	531	1073	35	20	0.283	0.346	0.434	0.78
Boston Red Sox	AL	162	5651	853	1566	363	29	178	819	581	1308	123	19	0.277	0.349	0.446	0.795
Colorado Rockies	NL	162	5599	706	1511	283	36	159	673	427	1204	112	32	0.27	0.323	0.418	0.741
St. Louis Cardinals	NL	162	5557	783	1494	322	20	125	745	481	1110	45	22	0.269	0.332	0.401	0.733
Los Angeles Angels	AL	162	5588	733	1476	270	39	164	696	523	1221	82	34	0.264	0.329	0.414	0.743
Los Angeles Dodgers	NL	162	5491	649	1447	281	17	138	618	476	1146	78	28	0.264	0.326	0.396	0.722
Texas Rangers	AL	163	5585	730	1465	262	23	176	691	462	1067	149	46	0.262	0.323	0.412	0.735
San Francisco Giants	NL	162	5552	629	1446	280	35	107	596	469	1078	67	26	0.26	0.32	0.381	0.702
Kansas City Royals	AL	162	5549	648	1443	254	34	112	620	422	1048	153	32	0.26	0.315	0.379	0.694
Baltimore Orioles	AL	162	5620	745	1460	298	14	212	719	416	1125	79	29	0.26	0.313	0.431	0.744
Arizona Diamondbacks	NL	162	5676	685	1468	302	31	130	647	519	1142	62	41	0.259	0.323	0.391	0.715
Tampa Bay Rays	AL	163	5538	700	1421	296	23	165	670	589	1171	73	38	0.257	0.329	0.408	0.737
Cleveland Indians	AL	162	5465	745	1391	290	23	171	711	562	1283	117	36	0.255	0.327	0.41	0.737
Oakland Athletics	AL	162	5521	767	1403	301	25	186	725	573	1178	74	28	0.254	0.327	0.419	0.745
Toronto Blue Jays	AL	162	5537	712	1398	273	24	185	669	510	1123	112	41	0.252	0.318	0.411	0.729
Milwaukee Brewers	NL	162	5474	640	1381	238	43	157	610	407	1183	142	50	0.252	0.311	0.398	0.708
Washington Nationals	NL	162	5436	656	1365	259	27	161	621	464	1192	88	28	0.251	0.313	0.398	0.71
Cincinnati Reds	NL	162	5499	698	1370	274	20	155	664	585	1245	67	35	0.249	0.327	0.391	0.718
Chicago White Sox	AL	162	5563	598	1385	237	19	148	574	411	1207	105	42	0.249	0.302	0.378	0.68
Atlanta Braves	NL	162	5441	688	1354	247	21	181	656	542	1384	64	31	0.249	0.321	0.402	0.723
