1
2014
30
Detroit Tigers	AL	162	5630	757	1557	325	26	155	731	443	1144	106	41	0.277	0.331	0.426	0.757
Colorado Rockies	NL	162	5612	755	1551	307	41	186	721	397	1281	85	48	0.276	0.327	0.445	0.772
Los Angeles Dodgers	NL	162	5560	718	1476	302	38	134	686	519	1246	138	50	0.265	0.333	0.406	0.738
Kansas City Royals	AL	162	5545	651	1456	286	29	95	604	380	985	153	36	0.263	0.314	0.376	0.69
Pittsburgh Pirates	NL	162	5536	682	1436	275	30	156	659	520	1244	104	47	0.259	0.33	0.404	0.734
Los Angeles Angels	AL	162	5652	773	1464	304	31	155	729	492	1266	81	39	0.259	0.322	0.406	0.728
Toronto Blue Jays	AL	162	5549	723	1435	282	24	177	690	502	1151	78	21	0.259	0.323	0.414	0.736
Texas Rangers	AL	162	5460	637	1400	260	28	111	597	417	1162	105	59	0.256	0.314	0.375	0.689
Baltimore Orioles	AL	162	5596	705	1434	264	16	211	681	401	1285	44	20	0.256	0.311	0.422	0.734
San Francisco Giants	NL	162	5523	665	1407	257	42	132	636	427	1245	56	27	0.255	0.311	0.388	0.699
Minnesota Twins	AL	162	5567	715	1412	316	27	128	675	544	1329	99	36	0.254	0.324	0.389	0.713
Washington Nationals	NL	162	5542	686	1403	265	27	152	635	517	1304	101	23	0.253	0.321	0.393	0.714
Cleveland Indians	AL	162	5575	669	1411	284	23	142	644	504	1189	104	27	0.253	0.317	0.389	0.706
St. Louis Cardinals	NL	162	5426	619	1371	275	21	105	585	471	1133	57	32	0.253	0.32	0.369	0.689
Miami Marlins	NL	162	5538	645	1399	254	36	122	614	501	1419	58	21	0.253	0.317	0.378	0.694
Chicago White Sox	AL	162	5543	660	1400	279	32	155	625	417	1362	85	36	0.253	0.31	0.398	0.708
Milwaukee Brewers	NL	162	5462	650	1366	297	28	150	617	423	1197	102	43	0.25	0.311	0.397	0.708
Arizona Diamondbacks	NL	162	5552	615	1379	259	47	118	573	398	1165	86	33	0.248	0.302	0.376	0.678
Tampa Bay Rays	AL	162	5516	612	1361	263	24	117	586	527	1124	63	27	0.247	0.317	0.367	0.684
New York Yankees	AL	162	5497	633	1349	247	26	147	591	452	1133	112	26	0.245	0.307	0.38	0.687
Oakland Athletics	AL	162	5545	729	1354	253	33	146	686	586	1104	83	20	0.244	0.32	0.381	0.7
Boston Red Sox	AL	162	5551	634	1355	282	20	123	601	535	1337	63	25	0.244	0.316	0.369	0.684
Seattle Mariners	AL	162	5450	634	1328	247	32	136	600	396	1232	96	42	0.244	0.3	0.376	0.676
Philadelphia Phillies	NL	162	5603	619	1356	251	27	125	584	443	1306	109	26	0.242	0.302	0.363	0.665
Houston Astros	AL	162	5447	629	1317	240	19	163	596	495	1442	122	37	0.242	0.309	0.383	0.692
Atlanta Braves	NL	162	5468	573	1316	240	22	123	545	472	1369	95	33	0.241	0.305	0.36	0.665
Chicago Cubs	NL	162	5508	614	1315	270	31	157	590	442	1477	65	40	0.239	0.3	0.385	0.684
New York Mets	NL	162	5472	629	1306	275	19	125	602	516	1264	101	34	0.239	0.308	0.364	0.673
Cincinnati Reds	NL	162	5395	595	1282	254	20	131	562	415	1252	122	52	0.238	0.296	0.365	0.661
San Diego Padres	NL	162	5294	535	1199	224	30	109	500	468	1294	91	34	0.226	0.292	0.342	0.634
2
isort 2014 AVG decr
isort 2014 R decr
